Vivado Simulator 2017.4
Time resolution is 1 ps
Block Memory Generator module mb_tb.dut.design_1_i.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module mb_tb.dut.design_1_i.microblaze_0_local_memory.lmb_bram.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_1 collision detected at time: 227500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 232500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 237500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 242500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 247500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 252500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 257500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 262500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 267500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
Warning: [Unisim MMCME2_ADV-20] Input CLKIN1 period and attribute CLKIN1_PERIOD are not same. Instance mb_tb.dut.design_1_i.clk_wiz_0.inst.mmcm_adv_inst 
blk_mem_gen_v8_4_1 collision detected at time: 272500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 277500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 282500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 287500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 292500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 297500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 302500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 307500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 312500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 317500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 322500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 327500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 332500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 337500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 342500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 347500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 352500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_1 collision detected at time: 357500, Instance: mb_tb.dut.design_1_i.blk_mem_gen_1.inst.native_mem_mapped_module.blk_mem_gen_v8_4_1_inst, A write address: 0, B  read address: 0
